1.0, 1.0, -2.0, 2.0, -2.0, 9.0, -1.0, -6.0
2.0, 3.0, 1.0, -7.0, 0.0, 6.0, -3.0, -19.0
-3.0, -5.0, 0.0, 12.0, -2.0, -22.0, -4.0, -8.0
-2.0, -3.0, 4.0, 0.0, 5.0, 10.0, 1.0, -16.0
1.0, 4.0, 4.0, 0.0, -2.0, 8.0, -5.0, -15.0
-1.0, -7.0, 1.0, 11.0, 2.0, -4.0, 2.0, -16.0
-5.0, -4.0, -21.0, -26.0, 3.0, 6.0, -2.0, -14.0
-1.0, 12.0, -31.0, 8.0, -7.0, -11.0, -6.0, -10.0
-10.0, 3.0, 8.0, -5.0, 2.0, 0.0, 2.0, -12.0
8.0, -3.0, 2.0, -2.0, 4.0, 2.0, 2.0, -10.0
3.0, -2.0, -7.0, -3.0, -9.0, -9.0, -2.0, -24.0
2.0, 7.0, 11.0, 6.0, 4.0, 21.0, 5.0, -9.0
3.0, 1.0, 10.0, 8.0, 1.0, -11.0, -5.0, -13.0
-6.0, -11.0, -5.0, -1.0, -7.0, -28.0, -1.0, -11.0
-4.0, -3.0, -2.0, -5.0, 2.0, 11.0, -1.0, -18.0
1.0, 7.0, 2.0, -4.0, -2.0, 11.0, -3.0, -8.0
2.0, 1.0, 13.0, 11.0, 4.0, 4.0, -2.0, -17.0
-3.0, -19.0, -4.0, -13.0, -2.0, -2.0, 1.0, -2.0
-3.0, -1.0, 3.0, 6.0, -4.0, -14.0, -4.0, -21.0
1.0, 7.0, 1.0, -6.0, 3.0, -2.0, -3.0, -19.0
1.0, 1.0, -22.0, -1.0, -8.0, 7.0, 3.0, -11.0
-5.0, -12.0, -3.0, -23.0, 2.0, 0.0, -1.0, -22.0
0.0, -3.0, 4.0, 12.0, -1.0, -7.0, -3.0, -13.0
0.0, 19.0, -19.0, -1.0, -5.0, -15.0, -4.0, -21.0
3.0, 2.0, 11.0, 2.0, -4.0, -13.0, -2.0, -19.0
-2.0, -18.0, -10.0, 4.0, 13.0, 14.0, 4.0, -3.0
-3.0, -3.0, -2.0, -4.0, 2.0, 29.0, -1.0, -16.0
0.0, 18.0, 7.0, -2.0, -8.0, -8.0, -3.0, -22.0
